branch,category,seatpool,oprank,closerank
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,12,12
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,83,152
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC PwD,Gender-Neutral,5P,5P
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,9,54
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST PwD,Gender-Neutral,4P,4P
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,795,1676
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,120,120
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,597,1156
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,215,285
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,32,32
"Electrical Engineering (Power and Automation)(4 year, Bachelor of Technology,
Engineering)",General,Gender-Neutral,566,802
"Electrical Engineering (Power and Automation)(4 year, Bachelor of Technology,
Engineering)",General PwD,Gender-Neutral,26,26
"Electrical Engineering (Power and Automation)(4 year, Bachelor of Technology,
Engineering)",EWS,Gender-Neutral,83,87
"Electrical Engineering (Power and Automation)(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Gender-Neutral,325,519
"Electrical Engineering (Power and Automation)(4 year, Bachelor of Technology,
Engineering)",OBC-NCL(PwD),Gender-Neutral,2P,2P
"Electrical Engineering (Power and Automation)(4 year, Bachelor of Technology,
Engineering)",SC,Gender-Neutral,118,348
"Electrical Engineering (Power and Automation)(4 year, Bachelor of Technology,
Engineering)",ST,Gender-Neutral,104,174
"Electrical Engineering (Power and Automation)(4 year, Bachelor of Technology,
Engineering)",General,Female-Only,1957,2287
"Electrical Engineering (Power and Automation)(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Female-Only,1219,1288
"Electrical Engineering (Power and Automation)(4 year, Bachelor of Technology,
Engineering)",SC,Female-Only,454,565
"Electrical Engineering (Power and Automation)(4 year, Bachelor of Technology,
Engineering)",ST,Female-Only,460,460
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1018,2417
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,76P,76P
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,204,250
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1081,1631
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,598,972
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,250,482
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",General,Female-Only,4276,5946
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,706,706
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,1840,3292
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,501,1045
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,1100,1100
"Mathematics and Computing(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,97,314
"Mathematics and Computing(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,8,11
"Mathematics and Computing(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,23,29
"Mathematics and Computing(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,95,240
"Mathematics and Computing(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,36,36
"Mathematics and Computing(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,79,207
"Mathematics and Computing(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,82,145
"Mathematics and Computing(4 year, Bachelor of Technology, Engineering)",General,Female-Only,438,989
"Mathematics and Computing(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,89,89
"Mathematics and Computing(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,469,866
"Mathematics and Computing(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,328,558
"Mathematics and Computing(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,437,437
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,498,1221
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,32,32
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,85,100
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,155,594
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,21,21
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,57,310
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,8,91
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,2875,4125
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Female-Only,56P,56P
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,780,780
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,2008,2414
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,506,785
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,856,1008
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1940,3169
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,87P,87P
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,267.1,307
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1185,1667
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,679,1344
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,415,648
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,4811,7047
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,1346,1346
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,3266,4530
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1692,2176
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,529P,529P
"Textile Technology(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,3422,5868
"Textile Technology(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,136P,136P
"Textile Technology(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,549,630
"Textile Technology(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,2093,3057
"Textile Technology(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1407,1946
"Textile Technology(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,361,1020
"Textile Technology(4 year, Bachelor of Technology, Engineering)",General,Female-Only,7440,9677
"Textile Technology(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,1727,1727
"Textile Technology(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,4914,6188
"Textile Technology(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2450,2605
"Textile Technology(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,699,579P
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Gender-Neutral,2045,3103
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General PwD,Gender-Neutral,108P,108P
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",EWS,Gender-Neutral,315,370
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Gender-Neutral,1239,1808
