branch,category,seatpool,oprank,closerank
"Electrical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",EWS,Gender-Neutral,56,65
"Electrical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Gender-Neutral,173,435
"Electrical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL(PwD),Gender-Neutral,19P,19P
"Electrical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Gender-Neutral,155,362
"Electrical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",ST,Gender-Neutral,130,190
"Electrical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Female-Only,1252,2219
"Electrical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Female-Only,1025,1319
"Electrical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Female-Only,336,657
"Electrical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",ST,Female-Only,745,745
"Energy Engineering with M.Tech. in Energy Systems Engineering(5 year, Bachelor and
Master of Technology (Dual Degree), Engineering)",General,Gender-Neutral,1016,2378
"Energy Engineering with M.Tech. in Energy Systems Engineering(5 year, Bachelor and
Master of Technology (Dual Degree), Engineering)",General PwD,Gender-Neutral,45P,45P
"Energy Engineering with M.Tech. in Energy Systems Engineering(5 year, Bachelor and
Master of Technology (Dual Degree), Engineering)",EWS,Gender-Neutral,262,262
"Energy Engineering with M.Tech. in Energy Systems Engineering(5 year, Bachelor and
Master of Technology (Dual Degree), Engineering)",OBC-NCL,Gender-Neutral,1212,1369
"Energy Engineering with M.Tech. in Energy Systems Engineering(5 year, Bachelor and
Master of Technology (Dual Degree), Engineering)",SC,Gender-Neutral,864,1042
"Energy Engineering with M.Tech. in Energy Systems Engineering(5 year, Bachelor and
Master of Technology (Dual Degree), Engineering)",ST,Gender-Neutral,625,751
"Energy Engineering with M.Tech. in Energy Systems Engineering(5 year, Bachelor and
Master of Technology (Dual Degree), Engineering)",General,Female-Only,4968,5939
"Energy Engineering with M.Tech. in Energy Systems Engineering(5 year, Bachelor and
Master of Technology (Dual Degree), Engineering)",OBC-NCL,Female-Only,2647,2822
"Energy Engineering with M.Tech. in Energy Systems Engineering(5 year, Bachelor and
Master of Technology (Dual Degree), Engineering)",SC,Female-Only,1425,1425
"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",General,Gender-Neutral,1097,1294
"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",EWS,Gender-Neutral,78,78
"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",OBC-NCL,Gender-Neutral,546,647
"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",SC,Gender-Neutral,261,392
"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",ST,Gender-Neutral,203,203
"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",General,Female-Only,3952,4572
"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",OBC-NCL,Female-Only,2413,2413
"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",SC,Female-Only,1116,1116
"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",ST,Female-Only,691,691
