branch,category,seatpool,oprank,closerank
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS PwD,Gender-Neutral,3,3
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,81,118
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,8,8
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,17,69
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,17,39
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,520,980
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,72,72
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,278,332
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Female-Only,33,33
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,221,221
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,781,1263
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,37,37
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,88,91
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,406,583
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,45,45
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,204,337
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,137,167
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,2443,3245
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,283,283
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,1411,1723
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,278,296
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General,Gender-Neutral,560,921
