branch,category,seatpool,oprank,closerank
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,508,911
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,652,659
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General,Gender-Neutral,852,1192
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General PwD,Gender-Neutral,39,47
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",EWS,Gender-Neutral,82,94
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Gender-Neutral,290,555
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL(PwD),Gender-Neutral,43,43
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Gender-Neutral,140,340
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",SC PwD,Gender-Neutral,9P,9
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Gender-Neutral,99,199
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General,Female-Only,1903,3109
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General PwD,Female-Only,38,38
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",EWS,Female-Only,284,284
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Female-Only,1365,1646
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Female-Only,619,636
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Female-Only,368,368
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,2534,3409
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,334,334
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1638,2031
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1035,1257
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,703,760
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",General,Female-Only,7298,7726
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,5224,5276
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2306,2306
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,510,510
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1677,2492
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,91,101
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,178,197
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,610,1056
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,76,76
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,478,618
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,262,321
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,4561,6602
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,944,944
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,3170,4015
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1519,1674
