branch,category,seatpool,oprank,closerank
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Female-Only,5115,5115
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Female-Only,3254,3254
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,21498,30205
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,1116,1116
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,3914,3914
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,7766,9331
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,737,737
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,4950,5635
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,2058,2205
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,36909,39182
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,5348,5348
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,15855,15932
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,7954,7954
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,30231,35576
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,1951,1951
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,4581,4650
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,10784,11642
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,5496,6375
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,2504,2741
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,38277,43908
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,5843,5843
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,16620,16687
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,8378,8378
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,3335,3335
"Information Technology(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,16904,24508
"Information Technology(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,985,985
"Information Technology(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,3090,3283
"Information Technology(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,6538,8208
"Information Technology(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,3815,4284
"Information Technology(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,2536,2536
"Information Technology(4 year, Bachelor of Technology, Engineering)",General,Female-Only,27833,30939
"Information Technology(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,13939,13939
"Information Technology(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,4889,6831
"Information Technology(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,3404,3404
