branch,category,seatpool,oprank,closerank
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,50,69
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,54,551
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,295,57P
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,8P,361
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,74,155
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,59,2974
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Female-Only,1365,34
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,34,245
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,245,1684
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1267,638
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,393,541
"Materials Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,506,4909
"Materials Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,3475,502
"Materials Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,459,2581
"Materials Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1842,1577
"Materials Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,1086,920
"Materials Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,646,9888
"Materials Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,7847,1541
"Materials Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,1541,5912
"Materials Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,4683,2115
"Materials Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,1481,422P
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,422P,1990
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,1254,31P
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,93,135
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS PwD,Gender-Neutral,128,6P
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,6P,873
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,556,49P
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,28P,534
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,312,268
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,139,6029
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,3390,898
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,898,3102
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2673,1331
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,1004,44P
"Chemistry(4 year, Bachelor of Science, Science)",General,Gender-Neutral,1120,6977
"Chemistry(4 year, Bachelor of Science, Science)",EWS,Gender-Neutral,5012,668
"Chemistry(4 year, Bachelor of Science, Science)",OBC-NCL,Gender-Neutral,664,3713
"Chemistry(4 year, Bachelor of Science, Science)",SC,Gender-Neutral,2643,2305
"Chemistry(4 year, Bachelor of Science, Science)",ST,Gender-Neutral,2119,1072
"Chemistry(4 year, Bachelor of Science, Science)",General,Female-Only,1046,13354
"Chemistry(4 year, Bachelor of Science, Science)",OBC-NCL,Female-Only,12165,6396
"Chemistry(4 year, Bachelor of Science, Science)",SC,Female-Only,6300,3025
"Chemistry(4 year, Bachelor of Science, Science)",ST,Female-Only,3025,837P
"Economics(4 year, Bachelor of Science, Science)",General,Gender-Neutral,837P,2347
"Economics(4 year, Bachelor of Science, Science)",General PwD,Gender-Neutral,1681,86
"Economics(4 year, Bachelor of Science, Science)",EWS,Gender-Neutral,86,282
"Economics(4 year, Bachelor of Science, Science)",OBC-NCL,Gender-Neutral,280,1584
"Economics(4 year, Bachelor of Science, Science)",SC,Gender-Neutral,1277,1629
"Economics(4 year, Bachelor of Science, Science)",ST,Gender-Neutral,904,683
