branch,seatpool,oprank,closerank,category
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,520,980,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6,6,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,17,72,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,221,221,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,17,39,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,406,598,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,1411,1723,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1P,1P,OBC-NCL(PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,88,91,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,283,283,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,781,1352,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,2559,3443,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,37,37,OPEN (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,204,378,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,278,296,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,141,178,ST
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Gender-Neutral,212,407,OBC-NCL
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Female-Only,968,1061,OBC-NCL
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Gender-Neutral,31,31,OBC-NCL(PwD)
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Female-Only,60P,60P,OBC-NCL(PwD)
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Gender-Neutral,67,74,GEN-EWS
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Female-Only,211,211,GEN-EWS
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Gender-Neutral,560,932,OPEN
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Female-Only,1878,2443,OPEN
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Gender-Neutral,20,20,OPEN (PwD)
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Female-Only,11P,11P,OPEN (PwD)
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Gender-Neutral,107,353,SC
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Female-Only,510,510,SC
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Gender-Neutral,51,166,ST
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of
Technology)",Female-Only,582,582,ST
"Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,763,1135,OBC-NCL
"Instrumentation Engineering (4 Years, Bachelor of Technology)",Female-Only,2466,2466,OBC-NCL
"Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,219,219,GEN-EWS
"Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1363,2201,OPEN
"Instrumentation Engineering (4 Years, Bachelor of Technology)",Female-Only,5694,6033,OPEN
"Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,155,155,OPEN (PwD)
"Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,764,999,SC
"Instrumentation Engineering (4 Years, Bachelor of Technology)",Female-Only,1444,1923,SC
"Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,535,615,ST
"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1980,2506,OBC-NCL
"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,4309,4941,OBC-NCL
"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,406,406,GEN-EWS
"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3640,4590,OPEN
"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,8810,9332,OPEN
"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,390,1522,SC
"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,2179,2179,SC
"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,679,762,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,787,907,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,2819,2855,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,51P,51P,OBC-NCL(PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,168,178,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,754,754,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1518,2212,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,4932,6169,OPEN
