branch,seatpool,oprank,closerank,category
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4945,7521,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,6479,10783,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2465,2930,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,4068,4068,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,14627,19845,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,19169,26978,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1114,1114,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3071,4000,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,4709,4709,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1615,2845,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5887,7547,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,11219,11234,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2570,2650,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,3522,3522,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,13095,20680,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,21804,24788,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,855,855,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4177,4601,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,6296,6593,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1475,1775,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2190,2222,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5282,6931,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,9548,9665,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2764,3472,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,5749,5749,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,12987,22290,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,21018,28695,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,890,890,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1317,3668,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,2570,2570,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2045,2257,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1837,1837,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,29,29,ST (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4937,5914,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,9115,9424,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,623,623,OBC-NCL(PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2355,2541,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,3498,3498,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,15192,19152,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,17826,21141,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1130,1130,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2392,3267,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,4023,4023,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,836,872,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1617,1617,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1416,2403,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,5288,5462,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,132,132,OBC-NCL(PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,709,999,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,3348,3348,GEN-EWS
