branch,seatpool,oprank,closerank,category
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1324,1324,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1960,4382,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,3991,9199,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,319,319,OBC-NCL(PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1356,1551,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2253,9420,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,6375,10746,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,508,508,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,749,749,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,454,2456,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,3315,3315,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,130,130,SC (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,522,721,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,173,173,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,608,1171,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,2713,2902,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,67,67,OBC-NCL(PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,344,347,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1814,3567,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,3840,5190,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,56,56,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,166,166,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,191,392,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,741,741,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,22,22,SC (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,53,249,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,352,352,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4540,10522,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,12847,20428,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,700,700,OBC-NCL(PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2646,2848,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4084,20005,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,13724,18373,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,987,987,OPEN (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2888,5321,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,3415,3415,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1301,2149,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,1452,1452,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2256,3233,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,3906,4274,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,301,301,OBC-NCL(PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,984,1009,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5578,8412,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,11363,13329,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,285,285,OPEN (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1072,1489,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,2598,2598,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,263,516,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,670,670,ST
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4434,5541,OBC-NCL
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,10572,10572,OBC-NCL
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1699,1699,GEN-EWS
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,8571,12009,OPEN
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,11081,14075,OPEN
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,588,588,OPEN (PwD)
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1950,2625,SC
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,2467,2467,SC
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,787,1060,ST
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,1848,1848,ST
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1511,1778,OBC-NCL
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,2924,2924,OBC-NCL
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,95,95,OBC-NCL(PwD)
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,618,618,GEN-EWS
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4384,5211,OPEN
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,8332,9375,OPEN
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,641,1019,SC
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,1569,1569,SC
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,465,538,ST
