branch,seatpool,oprank,closerank,category
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,697,1058,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,10,10,OPEN (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,27,100,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,66,219,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4,4,SC (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,25,58,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,101,101,ST
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,511,1173,OBC-NCL
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,2851,2924,OBC-NCL
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,150,150,GEN-EWS
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,347,1290,OPEN
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,1087,2689,OPEN
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,172,797,SC
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,309,309,SC
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,371,469,ST
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,150P,150P,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,234,477,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,1273,2219,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,14,6P,OBC-NCL(PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,73,100,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,529,529,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6P,6P,GEN-EWS(PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,196,998,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,1880,3536,OPEN
