branch,seatpool,oprank,closerank,category
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,245,245,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,431,973,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,1365,2974,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,50,64,OPEN (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,34,34,OPEN (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,74,362,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,393,638,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,59,186,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,506,541,ST
"Materials Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1842,2665,OBC-NCL
"Materials Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,4683,5912,OBC-NCL
"Materials Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,459,502,GEN-EWS
"Materials Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,1541,1541,GEN-EWS
"Materials Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3475,5043,OPEN
"Materials Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,7847,10112,OPEN
"Materials Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1086,1823,SC
"Materials Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,1481,2115,SC
"Materials Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,832,986,ST
"Materials Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,422P,422P,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,620,886,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,2673,3187,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,28P,49P,OBC-NCL(PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,128,157,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,898,898,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1254,2035,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,3390,6029,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,20P,58P,OPEN (PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,312,567,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,1004,1331,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,139,342,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,1120,61P,ST
"Chemistry (4 Years, Bachelor of Science)",Gender-Neutral,2643,3903,OBC-NCL
"Chemistry (4 Years, Bachelor of Science)",Female-Only,6300,6396,OBC-NCL
"Chemistry (4 Years, Bachelor of Science)",Gender-Neutral,702,755,GEN-EWS
"Chemistry (4 Years, Bachelor of Science)",Gender-Neutral,5012,7261,OPEN
"Chemistry (4 Years, Bachelor of Science)",Female-Only,12165,13354,OPEN
"Chemistry (4 Years, Bachelor of Science)",Gender-Neutral,2305,2382,SC
"Chemistry (4 Years, Bachelor of Science)",Female-Only,3322,3322,SC
"Chemistry (4 Years, Bachelor of Science)",Gender-Neutral,1142,1204,ST
"Chemistry (4 Years, Bachelor of Science)",Female-Only,1025P,1025P,ST
"Economics (4 Years, Bachelor of Science)",Gender-Neutral,1277,1584,OBC-NCL
"Economics (4 Years, Bachelor of Science)",Female-Only,3434,3548,OBC-NCL
